x,CL_vs_alpha_deg_M2_Walker60,CL_vs_alpha_deg_M3_Walker60,CL_vs_alpha_deg_M4_Walker60,CL_vs_alpha_deg_M6_Walker60,CL_vs_alpha_deg_M8_Walker60
-4.44E-16,2.22045e-16,0.0005,-0.00076,0.00068,2.22045e-16
0.0115,0.00064,0.00094,-0.0004,0.00094,0.00021
0.0117,0.00065,0.00095,-0.00039,0.00095,0.00022
1.9302,0.10518,0.07428,0.05956,0.04427,0.03602
1.936,0.10549,0.0745,0.05973,0.0444,0.03613
1.9382,0.10561,0.07458,0.0598,0.04445,0.03618
1.9387,0.10563,0.0746,0.05982,0.04446,0.03619
1.9476,0.1061,0.07493,0.06009,0.04465,0.03635
3.9529,0.20909,0.14873,0.12067,0.08805,0.07501
3.9596,0.20943,0.14898,0.12087,0.08821,0.07514
3.9614,0.20952,0.14904,0.12093,0.08825,0.07518
3.9709,0.21001,0.14939,0.12122,0.08846,0.07537
3.9762,0.21028,0.14959,0.12137,0.08858,0.07547
5.9337,0.31368,0.22259,0.18214,0.13612,0.11526
5.9583,0.31504,0.22353,0.18293,0.13674,0.11577
5.9672,0.31553,0.22387,0.18321,0.13696,0.11596
5.9742,0.31592,0.22413,0.18343,0.13714,0.1161
5.9782,0.31614,0.22429,0.18356,0.13724,0.11619
7.9617,0.42594,0.30121,0.24829,0.18798,0.15963
7.9674,0.42624,0.30143,0.24848,0.18813,0.15977
7.9808,0.42695,0.30195,0.24893,0.18848,0.16008
8.0083,0.42839,0.30303,0.24983,0.18921,0.16073
8.0125,0.42861,0.30319,0.24997,0.18932,0.16083
9.9637,0.52885,0.38094,0.31495,0.24199,0.20926
9.9762,0.52953,0.38146,0.31537,0.24233,0.20957
9.9763,0.52954,0.38146,0.31538,0.24233,0.20958
9.9913,0.53035,0.38209,0.31588,0.24273,0.20996
10.0153,0.53165,0.38308,0.31668,0.24337,0.21057
11.936,0.64244,0.46387,0.38317,0.2964,0.26176
11.9834,0.64516,0.46578,0.38489,0.29784,0.26316
11.9845,0.64523,0.46582,0.38493,0.29787,0.26319
11.9969,0.64594,0.46632,0.38538,0.29825,0.26356
12.0097,0.64667,0.46684,0.38585,0.29864,0.26394
13.9637,0.75603,0.54484,0.4591,0.36539,0.32696
13.9932,0.75769,0.54612,0.46019,0.36646,0.32794
13.9969,0.7579,0.54628,0.46033,0.36659,0.32806
14.0032,0.75825,0.54655,0.46056,0.36682,0.32827
14.0193,0.75916,0.54726,0.46116,0.3674,0.3288
15.9635,0.87095,0.63941,0.5348,0.43832,0.39563
16.0051,0.87335,0.64141,0.53651,0.43984,0.39718
16.013,0.87382,0.64179,0.53684,0.44013,0.39748
16.0263,0.87458,0.64242,0.53739,0.44062,0.39798
16.0342,0.87504,0.6428,0.53772,0.44091,0.39827
17.9625,0.98988,0.73403,0.62501,0.51508,0.47504
17.9757,0.99072,0.73468,0.62563,0.51563,0.47556
17.9872,0.99145,0.73524,0.62617,0.51612,0.47602
17.9907,0.99167,0.73541,0.62632,0.51626,0.47616
18.0102,0.99292,0.73637,0.62724,0.51709,0.47693
19.9592,1.12081,0.83793,0.71824,0.6048,0.55421
19.9795,1.1221,0.83901,0.7192,0.60572,0.55507
19.9846,1.12242,0.83928,0.71944,0.60595,0.55528
19.9956,1.12312,0.83988,0.71996,0.60645,0.55575
20.0051,1.12372,0.84038,0.72041,0.60688,0.55615
21.9577,1.2424,0.9458,0.81545,0.69465,0.64545
21.9989,1.24494,0.94809,0.81755,0.69657,0.6474
22.0006,1.24505,0.94818,0.81764,0.69665,0.64748
22.01,1.24563,0.9487,0.81812,0.69708,0.64793
22.013,1.24581,0.94887,0.81827,0.69723,0.64807
23.3254,1.33192,1.02475,0.88941,0.76282,0.70979
23.4353,1.33942,1.0313,0.89563,0.76858,0.71494
23.4594,1.34106,1.03274,0.89699,0.76985,0.71606
23.4648,1.34143,1.03306,0.8973,0.77013,0.71632
23.5566,1.34767,1.03853,0.90249,0.77495,0.72061
