x,CLdele_v_Mach_alpha_0deg_Walker60,CLdele_v_Mach_alpha_8deg_Walker60,CLdele_v_Mach_alpha_16deg_Walker60,CLdele_v_Mach_alpha_24deg_Walker60
1.9776,0.0099849,0.0103712,0.0113388,0.0124992
1.9857,0.0099367,0.010327,0.0112984,0.0124689
2.0071,0.0098104,0.0102113,0.0111925,0.0123884
2.1125,0.0091949,0.0096668,0.0106746,0.011978
2.1648,0.0088973,0.0094124,0.0104237,0.0117722
2.2557,0.0084026,0.0089848,0.0100063,0.0114259
2.3386,0.0079902,0.0086073,0.009655,0.0111334
2.4459,0.0075318,0.008139,0.0092496,0.010793
2.4779,0.0074106,0.0080061,0.0091392,0.0106996
2.5325,0.0072172,0.0077915,0.0089604,0.0105486
2.6428,0.0068614,0.0074213,0.0086292,0.0102745
2.7014,0.0066796,0.0072509,0.0084648,0.0101448
2.8799,0.0061693,0.006751,0.0079997,0.0098094
2.9467,0.0059992,0.0065726,0.0078394,0.0097043
2.9915,0.0058902,0.0064559,0.007739,0.0096392
2.9961,0.0058792,0.006444,0.007729,0.0096327
3.2341,0.0053579,0.0058798,0.0073189,0.0093436
3.4126,0.0050254,0.0055437,0.0070937,0.0091631
3.4252,0.005004,0.0055236,0.0070792,0.0091512
3.6781,0.0046284,0.0052003,0.0068167,0.0089214
3.8287,0.0044417,0.005048,0.0066838,0.008783
3.8586,0.0044068,0.0050183,0.0066595,0.0087613
3.9782,0.0042714,0.0048965,0.0065685,0.008694
4.0178,0.0042278,0.0048562,0.0065405,0.0086745
4.262,0.0039674,0.0046323,0.0063882,0.008563
4.4585,0.0037682,0.0044965,0.0062871,0.0084815
4.549,0.0036802,0.0044408,0.006246,0.0084463
4.729,0.0035195,0.0043313,0.0061725,0.0083813
4.9859,0.0033339,0.0041628,0.0060776,0.008303
5.0032,0.0033223,0.0041514,0.0060712,0.0082984
5.0082,0.003319,0.0041481,0.0060694,0.0082972
5.1748,0.0032091,0.0040439,0.0060072,0.00826
5.6189,0.00292,0.0038276,0.0058534,0.0082031
5.654,0.0028966,0.003813,0.0058429,0.0082002
5.7196,0.0028534,0.003786,0.005824,0.008195
5.9665,0.0027311,0.0036884,0.005761,0.0081735
5.9842,0.0027233,0.0036816,0.0057569,0.0081716
6.432,0.0025267,0.0035191,0.0056584,0.0081085
6.5189,0.0024891,0.0034898,0.0056396,0.0080948
6.9559,0.0023048,0.0033574,0.0055448,0.0080335
6.9673,0.0023002,0.0033542,0.0055423,0.0080322
7.3041,0.0021702,0.0032635,0.0054727,0.0080039
7.3586,0.002151,0.0032491,0.0054622,0.0080003
7.562,0.0020845,0.0031961,0.005427,0.0079872
7.9719,0.0019671,0.0030957,0.0053754,0.007951
7.9857,0.0019635,0.0030926,0.0053738,0.0079493
7.9881,0.0019629,0.003092,0.0053735,0.007949
8.2378,0.0018979,0.0030393,0.0053431,0.0079122
8.5334,0.0018167,0.0029903,0.0053062,0.0078581
8.9879,0.0016823,0.002934,0.0052499,0.0077713
8.9994,0.0016796,0.0029326,0.0052485,0.0077692
9.0041,0.0016785,0.002932,0.0052479,0.0077684
9.0582,0.0016661,0.0029255,0.0052414,0.0077591
9.6562,0.0015511,0.0028457,0.0051724,0.007673
9.9917,0.0015055,0.0027993,0.0051378,0.0076294
9.9943,0.001505,0.002799,0.0051375,0.0076291
9.9966,0.0015046,0.0027987,0.0051373,0.0076288
10.0037,0.0015034,0.0027977,0.0051366,0.0076278
10.9929,0.001324,0.0026746,0.005041,0.007453
10.996,0.0013235,0.0026742,0.0050407,0.0074523
11.0009,0.0013227,0.0026737,0.0050402,0.0074511
11.0128,0.0013208,0.0026724,0.0050389,0.0074482
11.9909,0.0011977,0.002578,0.0049169,0.0071425
11.996,0.0011972,0.0025775,0.0049163,0.0071408
12.0003,0.0011967,0.0025771,0.0049157,0.0071393
12.0052,0.0011962,0.0025767,0.004915,0.0071376
