x,alpha_deg_0,alpha_deg_8,alpha_deg_16,alpha_deg_24
1.987,-0.025445,-0.026838,-0.027412,-0.028721
1.9936,-0.025407,-0.026798,-0.027393,-0.028583
1.9958,-0.025394,-0.026785,-0.027387,-0.028551
1.9968,-0.025388,-0.026779,-0.027384,-0.028389
2.0026,-0.025354,-0.026744,-0.027367,-0.028384
2.2779,-0.02379,-0.025112,-0.026582,-0.028153
2.4882,-0.02273,-0.023994,-0.02605,-0.02799
2.4919,-0.022713,-0.023976,-0.026042,-0.027987
2.496,-0.022694,-0.023956,-0.026033,-0.027984
2.844,-0.021346,-0.022614,-0.025326,-0.027733
2.9296,-0.021066,-0.022396,-0.025168,-0.027676
2.991,-0.020873,-0.022292,-0.025062,-0.027637
2.9991,-0.020848,-0.022278,-0.025048,-0.027632
2.9998,-0.020846,-0.022277,-0.025047,-0.027632
3.2055,-0.020231,-0.021917,-0.024789,-0.027531
3.3291,-0.019888,-0.021701,-0.024668,-0.027509
3.4992,-0.01946,-0.02141,-0.024537,-0.027369
3.5009,-0.019456,-0.021407,-0.024536,-0.027368
3.5263,-0.019398,-0.021364,-0.024521,-0.02735
3.6258,-0.019181,-0.021202,-0.024477,-0.027298
3.9058,-0.018655,-0.020814,-0.024351,-0.027245
3.9268,-0.018619,-0.020793,-0.024336,-0.027242
3.9858,-0.018518,-0.020739,-0.024289,-0.027234
4.1468,-0.018245,-0.020613,-0.024138,-0.027196
4.2939,-0.017999,-0.020472,-0.024014,-0.027134
4.3218,-0.017952,-0.020441,-0.023996,-0.02712
4.5115,-0.017635,-0.020209,-0.023914,-0.027011
4.6902,-0.017337,-0.019973,-0.023844,-0.026913
4.6924,-0.017333,-0.01997,-0.023843,-0.026912
4.9495,-0.016928,-0.019627,-0.023699,-0.02681
4.9982,-0.016858,-0.019565,-0.023671,-0.026792
5.1927,-0.016595,-0.01938,-0.023575,-0.026707
5.2578,-0.01651,-0.019346,-0.023558,-0.026672
