x,alpha_deg_0,alpha_deg_8,alpha_deg_16,alpha_deg_24
1.9785,-0.00129072,-0.00135066,-0.00148174,-0.0016365
1.9788,-0.00129051,-0.00135047,-0.00148152,-0.00163635
1.981,-0.00128906,-0.00134917,-0.00147996,-0.00163534
1.9901,-0.00128292,-0.00134369,-0.00147338,-0.00163107
2.255,-0.00110544,-0.00118461,-0.0013001,-0.00151105
2.3018,-0.00107501,-0.00115702,-0.00127489,-0.00149148
2.3687,-0.00103251,-0.00111816,-0.00124132,-0.0014643
2.4067,-0.00100932,-0.0010967,-0.00122347,-0.00144928
2.5748,-0.00092392,-0.00100907,-0.00115162,-0.00138594
2.581,-0.00092141,-0.00100608,-0.00114915,-0.00138371
2.6545,-0.00089272,-0.00097156,-0.00112067,-0.00135776
2.8496,-0.00081656,-0.00088991,-0.00105194,-0.00129344
2.9742,-0.00076933,-0.00084513,-0.00101311,-0.00125951
2.9799,-0.00076728,-0.00084324,-0.00101146,-0.00125833
2.9908,-0.00076332,-0.0008396,-0.00100827,-0.0012561
3.0588,-0.00074041,-0.00081794,-0.00098935,-0.00124383
3.2934,-0.00068203,-0.00075276,-0.00093487,-0.00120982
3.4593,-0.00064659,-0.00071427,-0.00090591,-0.001191
3.4808,-0.00064209,-0.00070974,-0.00090266,-0.00118898
3.5187,-0.00063419,-0.00070203,-0.00089714,-0.00118569
3.8081,-0.00057579,-0.00065481,-0.00086389,-0.00116561
3.852,-0.0005675,-0.0006491,-0.00085992,-0.00116163
3.9705,-0.00055425,-0.00063467,-0.00084981,-0.00114924
3.9738,-0.00055392,-0.00063428,-0.00084953,-0.00114888
4.0026,-0.00055049,-0.00063093,-0.00084715,-0.00114583
4.1229,-0.00053241,-0.00061734,-0.00083734,-0.00113503
4.4442,-0.00048196,-0.00058394,-0.00081158,-0.00112509
4.4889,-0.00047541,-0.00057971,-0.00080798,-0.00112336
4.5591,-0.00046583,-0.00057347,-0.00080231,-0.00112022
4.5827,-0.00046285,-0.00057152,-0.00080038,-0.0011191
4.9057,-0.00043337,-0.00055237,-0.00077746,-0.00110499
4.9657,-0.00042879,-0.00054861,-0.00077503,-0.00110343
4.9728,-0.00042825,-0.00054815,-0.00077478,-0.00110327
4.9782,-0.00042784,-0.00054781,-0.00077459,-0.00110316
5.3602,-0.00039876,-0.00052138,-0.00076351,-0.00109691
5.5057,-0.00038793,-0.00051113,-0.00075846,-0.00109157
5.9242,-0.00035834,-0.00048273,-0.00073937,-0.00107349
5.9638,-0.0003557,-0.00048019,-0.00073836,-0.00107207
5.9735,-0.00035506,-0.00047957,-0.00073813,-0.00107173
5.9851,-0.0003543,-0.00047883,-0.00073786,-0.00107133
6.5564,-0.00032029,-0.00044729,-0.00072848,-0.00105702
6.9787,-0.00029777,-0.00043017,-0.00072107,-0.00104828
6.98,-0.0002977,-0.00043012,-0.00072104,-0.00104825
6.9992,-0.00029668,-0.00042945,-0.00072063,-0.0010478
7.4928,-0.0002704,-0.00041454,-0.00070752,-0.00103574
7.9805,-0.00024562,-0.00040215,-0.00069606,-0.00102337
7.9848,-0.00024542,-0.00040205,-0.000696,-0.00102326
7.9868,-0.00024532,-0.00040199,-0.00069597,-0.0010232
8.9656,-0.00020739,-0.00037738,-0.00068712,-0.00099794
8.9718,-0.00020722,-0.00037722,-0.00068699,-0.00099778
8.9811,-0.00020697,-0.00037698,-0.00068679,-0.00099754
9.9739,-0.00018617,-0.00035129,-0.00065188,-0.00097153
9.9757,-0.00018612,-0.00035125,-0.00065183,-0.00097149
9.9799,-0.00018602,-0.00035114,-0.0006517,-0.00097138
9.984,-0.00018592,-0.00035104,-0.00065158,-0.00097127
10.6062,-0.00016873,-0.00033643,-0.00063899,-0.00095335
10.9632,-0.00015995,-0.00033,-0.00063405,-0.00094288
10.975,-0.00015971,-0.00032982,-0.00063387,-0.00094254
10.9778,-0.00015966,-0.00032978,-0.00063383,-0.00094246
11.9686,-0.00015048,-0.00032075,-0.00061463,-0.00091419
11.9713,-0.00015046,-0.00032073,-0.00061457,-0.00091411
11.9829,-0.00015042,-0.00032066,-0.00061432,-0.00091378
11.9869,-0.0001504,-0.00032063,-0.00061423,-0.00091367
