x,alpha_deg_0,alpha_deg_8,alpha_deg_16,alpha_deg_24
1.9938,0.0076054,0.0073174,0.0059402,0.0060119
1.9958,0.0076014,0.0073127,0.0059406,0.0060127
2.1642,0.0072768,0.0069442,0.0059623,0.006074
2.1822,0.0072433,0.006909,0.0059639,0.0060798
2.3428,0.0069625,0.0066222,0.0059737,0.0061272
2.4039,0.0068673,0.0065243,0.0059759,0.0061434
2.5448,0.0066736,0.0063397,0.0059784,0.0061777
2.6358,0.0065578,0.006231,0.0059788,0.0061981
2.8069,0.0063508,0.0060366,0.0059784,0.006234
2.848,0.0063083,0.0059921,0.0059782,0.0062423
2.9934,0.006177,0.0058457,0.0059779,0.0062711
2.9993,0.006172,0.0058404,0.0059779,0.0062723
3.117,0.0060714,0.005747,0.0059789,0.0062956
3.2852,0.0059171,0.005663,0.0059836,0.0063301
3.3593,0.0058481,0.0056244,0.0059875,0.006346
3.4526,0.0057644,0.0055724,0.0059947,0.006367
3.5045,0.0057197,0.0055449,0.0060001,0.0063794
3.5579,0.0056753,0.0055191,0.0060065,0.0063925
3.6383,0.0056109,0.0054846,0.0060175,0.0064129
3.9892,0.0053453,0.0053491,0.0060694,0.0064985
3.9971,0.0053393,0.005346,0.0060705,0.0065002
3.9971,0.0053393,0.0053459,0.0060705,0.0065002
4.1117,0.0052492,0.0052991,0.0060848,0.0065215
4.3459,0.0050678,0.0052016,0.0061091,0.0065548
4.479,0.0049759,0.0051477,0.006121,0.0065701
4.6127,0.0048926,0.0050969,0.0061318,0.0065844
4.7215,0.0048292,0.0050607,0.0061399,0.0065953
5.0057,0.0046746,0.0049934,0.0061586,0.00662
5.0588,0.0046477,0.0049836,0.0061617,0.0066239
5.1068,0.0046241,0.0049747,0.0061644,0.0066271
5.2569,0.0045548,0.0049472,0.0061719,0.0066351
5.482,0.0044645,0.0049082,0.0061801,0.006639
5.6051,0.0044197,0.0048886,0.0061825,0.0066368
5.8493,0.0043327,0.0048542,0.0061838,0.0066271
5.9244,0.0043053,0.0048449,0.0061834,0.0066237
5.9952,0.0042793,0.0048368,0.0061828,0.0066205
6.2614,0.0041831,0.0048119,0.0061794,0.006609
6.5515,0.004089,0.0047956,0.0061745,0.0065919
6.5692,0.0040839,0.0047948,0.0061741,0.0065905
6.8813,0.0040042,0.0047823,0.0061686,0.0065499
6.9297,0.003993,0.0047799,0.0061678,0.006541
7.008,0.0039751,0.0047756,0.0061665,0.0065256
7.2474,0.0039186,0.0047614,0.0061623,0.0064742
7.3978,0.0038791,0.0047544,0.0061584,0.0064391
7.5076,0.0038489,0.0047511,0.0061547,0.0064123
7.9,0.0037488,0.0047568,0.0061343,0.0063095
7.9534,0.0037379,0.0047604,0.0061308,0.006295
7.9964,0.0037298,0.0047638,0.0061278,0.0062832
8.0078,0.0037277,0.0047648,0.006127,0.0062801
8.3188,0.0036798,0.0048051,0.0061035,0.0061885
8.5529,0.0036455,0.0048402,0.0060842,0.0061138
8.5715,0.0036426,0.0048426,0.0060826,0.0061077
9.0136,0.0035624,0.0048821,0.0060447,0.0059507
9.015,0.0035621,0.0048823,0.0060446,0.0059501
9.2856,0.0035078,0.0049222,0.0060214,0.0058397
9.4556,0.0034731,0.0049479,0.0060072,0.0057655
9.552,0.003454,0.0049604,0.0059993,0.0057221
9.7212,0.0034224,0.0049768,0.0059861,0.005644
10.0017,0.0033769,0.0049975,0.0059649,0.0055124
10.0889,0.0033645,0.0050053,0.0059583,0.0054721
10.1912,0.0033507,0.0050165,0.0059505,0.0054256
10.6193,0.0032983,0.0050877,0.0059152,0.005231
10.6593,0.0032936,0.0050962,0.0059116,0.0052123
10.9978,0.003255,0.0051744,0.0058791,0.0050479
11.0176,0.0032528,0.0051791,0.0058771,0.0050379
11.3166,0.0032187,0.0052456,0.0058465,0.0048809
12.004,0.0031396,0.0053598,0.0057731,0.004497
12.0129,0.0031386,0.0053611,0.0057721,0.0044919
12.0138,0.0031385,0.0053612,0.005772,0.0044914
12.0178,0.003138,0.0053618,0.0057716,0.0044891
