x,alpha_deg_0,alpha_deg_8,alpha_deg_16,alpha_deg_24
1.99979,0.02404,0.107909,0.202313,0.26088
2.00093,0.024028,0.107866,0.20222,0.260826
2.00123,0.024025,0.107855,0.202196,0.260812
2.35018,0.020539,0.094992,0.176092,0.243525
2.49576,0.019217,0.090225,0.167089,0.235719
2.50876,0.019105,0.089828,0.166317,0.234996
2.81511,0.016698,0.081889,0.149171,0.215884
2.99636,0.015393,0.078177,0.140458,0.201126
2.99769,0.015383,0.078152,0.140403,0.201007
3.0208,0.015218,0.077713,0.139473,0.198928
3.05226,0.014994,0.077125,0.138243,0.196103
3.14343,0.014353,0.075484,0.134761,0.188311
3.29042,0.013384,0.073027,0.129626,0.177516
3.32585,0.013169,0.072467,0.128507,0.175306
3.47142,0.012389,0.070298,0.124342,0.168106
3.49077,0.0123,0.070025,0.123819,0.167247
3.49863,0.012265,0.069915,0.123608,0.166901
3.63347,0.011748,0.068115,0.119963,0.161092
3.80626,0.011233,0.066028,0.115268,0.153937
3.86779,0.011065,0.065339,0.114092,0.151531
4.00041,0.010689,0.063941,0.11213,0.147156
4.00553,0.010673,0.063889,0.112062,0.147005
4.01633,0.01064,0.063781,0.111919,0.146687
4.2214,0.009933,0.061873,0.109275,0.141127
4.3434,0.009461,0.060894,0.107571,0.138545
4.4384,0.009079,0.060224,0.106895,0.13711
4.50086,0.008826,0.059832,0.106592,0.136404
4.50308,0.008817,0.059818,0.106582,0.136381
4.65793,0.008203,0.059005,0.105974,0.135064
4.91144,0.007388,0.058007,0.105182,0.133098
4.99822,0.007206,0.057716,0.104954,0.132819
5.00048,0.007202,0.057708,0.104948,0.132813
5.0013,0.007201,0.057705,0.104946,0.132811
5.3476,0.006932,0.056667,0.104178,0.132035
5.49476,0.006824,0.056331,0.103796,0.131474
5.50163,0.006816,0.056318,0.103776,0.131443
5.56416,0.006732,0.056202,0.103582,0.131151
5.74238,0.006378,0.055941,0.102925,0.130361
5.99511,0.005698,0.055694,0.101844,0.129491
5.99895,0.005687,0.055691,0.101826,0.129477
6.20264,0.005099,0.055564,0.100907,0.128591
6.24195,0.004985,0.055542,0.10073,0.128369
6.48095,0.004302,0.055399,0.099676,0.126571
6.50091,0.004245,0.055386,0.09959,0.126396
6.75874,0.003536,0.05521,0.098497,0.124054
6.78507,0.003465,0.055191,0.098388,0.12382
6.99057,0.002935,0.055047,0.097548,0.122084
7.34133,0.002045,0.054808,0.096217,0.119589
7.38211,0.001928,0.054781,0.096074,0.11937
7.49712,0.001567,0.054709,0.095682,0.118859
7.49735,0.001566,0.054708,0.095681,0.118858
7.7264,0.000759,0.054576,0.09492,0.117518
7.99131,0.000193,0.054459,0.093962,0.114596
7.99446,0.000192,0.054458,0.09395,0.114558
8.21163,0.000441,0.054407,0.092993,0.11182
8.48602,0.000782,0.054418,0.091772,0.108534
8.49376,0.000781,0.054419,0.091742,0.108449
8.49472,0.000781,0.05442,0.091738,0.108438
8.64565,0.000644,0.054467,0.091202,0.106864
9.00262,-9.3e-05,0.054674,0.089987,0.103519
9.0043,-9.5e-05,0.054675,0.08998,0.103503
9.14299,0.000168,0.054783,0.089395,0.102147
9.49229,0.000485,0.0551,0.087806,0.098386
9.4949,0.000486,0.055103,0.087795,0.098358
9.50715,0.000491,0.055115,0.087745,0.09823
9.60867,0.000525,0.055217,0.087352,0.097213
9.99443,0.000588,0.05566,0.086192,0.093966
10.03284,0.000591,0.055711,0.086097,0.093612
10.49365,0.0006,0.056446,0.084774,0.088675
10.57681,0.000598,0.056603,0.084452,0.087818
10.59599,0.000597,0.056641,0.084373,0.087625
10.98612,0.000578,0.057472,0.08259,0.083954
11.33228,0.000551,0.058285,0.081079,0.080719
11.99653,0.000491,0.059937,0.079403,0.072513
11.99991,0.00049,0.059945,0.079397,0.072457
11.99996,0.00049,0.059946,0.079397,0.072456
