x,alpha_deg_0,alpha_deg_8,alpha_deg_16,alpha_deg_24
1.9883,-0.4608,-0.8456,-1.2449,-1.6395
1.9918,-0.4627,-0.8478,-1.2464,-1.6396
1.9931,-0.4635,-0.8486,-1.247,-1.6396
2.4784,-0.7149,-1.1308,-1.4455,-1.6685
2.479,-0.7152,-1.131,-1.4457,-1.6685
2.4819,-0.7164,-1.1325,-1.4467,-1.6688
2.9698,-0.8824,-1.3267,-1.5785,-1.7348
2.9703,-0.8825,-1.3268,-1.5786,-1.7348
2.9878,-0.8874,-1.3324,-1.5825,-1.7375
2.9893,-0.8878,-1.3328,-1.5828,-1.7377
3.4763,-0.9981,-1.4494,-1.6707,-1.8044
3.4778,-0.9983,-1.4497,-1.6709,-1.8045
3.4811,-0.9988,-1.4502,-1.6713,-1.8049
3.4844,-0.9993,-1.4507,-1.6718,-1.8053
3.9814,-1.0505,-1.4931,-1.7131,-1.8458
3.9861,-1.051,-1.4934,-1.7134,-1.8461
3.988,-1.0512,-1.4935,-1.7135,-1.8462
3.9972,-1.0522,-1.494,-1.7141,-1.8468
4.4738,-1.1039,-1.5176,-1.742,-1.8783
4.4749,-1.104,-1.5177,-1.7421,-1.8784
4.4897,-1.1047,-1.5181,-1.7425,-1.8796
4.4933,-1.1049,-1.5182,-1.7426,-1.8799
4.9767,-1.1058,-1.522,-1.7456,-1.9181
4.9822,-1.1059,-1.5219,-1.7456,-1.9184
4.9857,-1.1059,-1.5219,-1.7456,-1.9185
5.0034,-1.1061,-1.5218,-1.7456,-1.9194
5.4775,-1.1254,-1.519,-1.7403,-1.9296
5.4945,-1.1261,-1.519,-1.7394,-1.9299
5.4955,-1.1261,-1.519,-1.7393,-1.9299
5.4969,-1.1261,-1.519,-1.7392,-1.93
5.9866,-1.1314,-1.5193,-1.6954,-1.9401
5.9917,-1.1314,-1.5193,-1.6949,-1.9402
5.9935,-1.1315,-1.5192,-1.6948,-1.9402
5.9942,-1.1315,-1.5192,-1.6947,-1.9402
6.4783,-1.135,-1.508,-1.6689,-1.9438
6.4806,-1.135,-1.508,-1.6688,-1.9438
6.4915,-1.135,-1.5078,-1.6683,-1.9439
6.4964,-1.135,-1.5077,-1.6681,-1.9439
6.9784,-1.1289,-1.502,-1.6444,-1.9443
6.9832,-1.1288,-1.5019,-1.6442,-1.9441
6.9901,-1.1287,-1.5017,-1.6439,-1.944
7.4835,-1.121,-1.4791,-1.6197,-1.9281
7.4895,-1.1209,-1.4788,-1.6194,-1.928
7.4902,-1.1209,-1.4788,-1.6194,-1.928
7.4992,-1.1208,-1.4783,-1.619,-1.9279
7.9846,-1.1114,-1.4576,-1.5962,-1.9301
7.9965,-1.1112,-1.4571,-1.5956,-1.9301
8.0083,-1.1109,-1.4565,-1.595,-1.9299
8.4925,-1.1047,-1.4327,-1.569,-1.9044
8.5021,-1.1049,-1.4322,-1.5683,-1.9038
8.5035,-1.1049,-1.4322,-1.5682,-1.9037
8.9877,-1.1006,-1.4057,-1.5312,-1.8794
8.9958,-1.1004,-1.4052,-1.5309,-1.8791
9.0036,-1.1002,-1.4048,-1.5306,-1.8787
9.4808,-1.0879,-1.3757,-1.5266,-1.8586
9.4959,-1.0875,-1.3748,-1.5264,-1.858
9.9995,-1.0738,-1.3449,-1.5136,-1.8484
10.001,-1.0738,-1.3448,-1.5136,-1.8484
10.0069,-1.0736,-1.3445,-1.5134,-1.8484
10.4962,-1.0601,-1.3198,-1.5073,-1.8471
10.4968,-1.0601,-1.3197,-1.5073,-1.8471
10.9997,-1.046,-1.2927,-1.501,-1.8572
11.0065,-1.0458,-1.2923,-1.5008,-1.8573
11.0097,-1.0458,-1.2921,-1.5007,-1.8574
11.5011,-1.032,-1.2582,-1.4864,-1.8738
11.508,-1.0318,-1.2577,-1.4863,-1.8742
12.0063,-1.0178,-1.2182,-1.485,-1.9225
12.0075,-1.0177,-1.2181,-1.485,-1.9226
12.0101,-1.0177,-1.2179,-1.485,-1.9229
12.013,-1.0176,-1.2177,-1.485,-1.9233
