x,alpha_deg_0,alpha_deg_8,alpha_deg_16,alpha_deg_24
1.9962,0.0001543,-0.00020672,-0.00052376,-0.00058694
2.00266,0.00015231,-0.00020302,-0.00051766,-0.00058421
2.00347,0.00015206,-0.00020255,-0.0005169,-0.00058386
2.41592,4.20E-05,2.18E-05,-0.00013204,-0.00032321
2.50234,2.88E-05,6.31E-05,-5.27E-05,-0.00025467
2.50242,2.88E-05,6.32E-05,-5.27E-05,-0.00025461
2.99,2.00E-05,0.00025957,0.00037224,0.00016859
2.99033,2.00E-05,0.00025969,0.00037251,0.00016889
3.03678,1.95E-05,0.000276,0.00040968,0.00021047
3.05944,1.91E-05,0.00028381,0.0004275,0.00023074
3.4891,-1.90E-07,0.00041974,0.00073005,0.00060117
3.49622,-4.70E-07,0.00042198,0.00073462,0.0006069
3.50154,-6.80E-07,0.00042367,0.00073803,0.00061117
3.64015,-5.03E-06,0.00046819,0.00082531,0.00071857
3.91573,-1.54E-05,0.00055257,0.00099198,0.00090699
3.9882,-2.04E-05,0.00057203,0.00103347,0.00094659
4.00103,-2.14E-05,0.00057529,0.00104068,0.00095279
4.20289,-4.15E-05,0.00062018,0.00114731,0.00103455
4.25484,-4.68E-05,0.00063057,0.00117227,0.00105575
4.49299,-6.34E-05,0.00068067,0.00127219,0.00115388
4.49469,-6.35E-05,0.00068107,0.00127283,0.00115457
4.75991,-5.70E-05,0.00075052,0.00136486,0.00125521
4.84628,-5.29E-05,0.00077339,0.00139312,0.00128367
4.99217,-4.93E-05,0.00080819,0.00144076,0.00132583
4.99987,-4.93E-05,0.00080982,0.00144326,0.00132786
5.2938,-6.18E-05,0.00085944,0.00153501,0.00139556
5.48554,-6.95E-05,0.00089221,0.00158886,0.00143473
5.48773,-6.95E-05,0.00089265,0.00158944,0.00143515
5.49506,-6.96E-05,0.00089414,0.00159138,0.00143657
5.82759,-5.97E-05,0.0009703,0.00167005,0.00149011
5.97898,-5.53E-05,0.00099735,0.00170071,0.00150463
5.98712,-5.53E-05,0.00099846,0.00170227,0.00150523
6.22405,-5.89E-05,0.00101825,0.00174425,0.00151531
6.34975,-6.23E-05,0.00102463,0.00176374,0.00151586
6.47811,-6.41E-05,0.0010346,0.00178163,0.00151395
6.48635,-6.41E-05,0.00103555,0.00178271,0.00151377
6.84314,-5.43E-05,0.00110946,0.00182155,0.0015071
6.88815,-5.27E-05,0.00111792,0.00182536,0.00150733
6.92419,-5.15E-05,0.00112403,0.00182825,0.00150775
6.98303,-4.99E-05,0.00113304,0.00183264,0.00150871
7.3423,-4.75E-05,0.00117536,0.00185341,0.00150982
7.47645,-4.72E-05,0.00118902,0.00185997,0.00150345
7.485,-4.71E-05,0.00118989,0.00186039,0.00150292
7.60129,-4.57E-05,0.001202,0.0018663,0.00149451
7.89872,-3.69E-05,0.00123717,0.001883,0.00146704
7.98137,-3.30E-05,0.00124866,0.00188766,0.00145886
7.99002,-3.25E-05,0.00124992,0.00188815,0.00145799
8.33002,-1.31E-05,0.00130151,0.00190464,0.00141912
8.45509,-7.94E-06,0.00131803,0.00190892,0.00140135
8.47484,-7.36E-06,0.00132034,0.00190948,0.00139836
8.4836,-7.12E-06,0.00132133,0.00190972,0.00139702
8.97973,-4.60E-06,0.00135822,0.00191073,0.00131385
8.98283,-4.58E-06,0.00135842,0.00191064,0.00131333
9.04146,-3.88E-06,0.00136229,0.00190852,0.00130344
9.12037,-2.60E-06,0.00136778,0.00190461,0.00129044
9.47888,-1.88E-06,0.00139449,0.00187687,0.00123396
9.49354,-2.35E-06,0.00139556,0.00187568,0.00123148
9.62657,-8.56E-06,0.00140514,0.0018659,0.00120746
9.71109,-1.33E-05,0.00141123,0.00186092,0.00119058
9.97799,-2.21E-05,0.0014323,0.00184884,0.00113003
9.9813,-2.20E-05,0.00143259,0.00184871,0.00112922
10.27482,-8.18E-06,0.00145834,0.00183507,0.00105248
10.41638,5.90E-07,0.00146986,0.0018258,0.00101117
10.48293,3.59E-06,0.00147469,0.00182085,0.00099033
10.60678,6.25E-06,0.00148181,0.00181119,0.00094904
10.87141,5.68E-06,0.00148274,0.00179251,0.00085959
10.89222,5.67E-06,0.00148251,0.00179131,0.00085341
10.98782,6.35E-06,0.00148378,0.00178632,0.00082752
10.99119,6.40E-06,0.00148391,0.00178616,0.00082667
11.33948,1.78E-05,0.00151539,0.00177106,0.00074131
11.38141,1.90E-05,0.0015204,0.00176917,0.00072936
11.48701,2.05E-05,0.00153115,0.00176391,0.00069667
11.52539,2.04E-05,0.00153236,0.00176172,0.00068411
11.56503,2.00E-05,0.00153286,0.00175924,0.00067093
11.72933,1.48E-05,0.00153395,0.0017463,0.00061745
11.98428,4.50E-07,0.00153515,0.0017184,0.00056208
11.98611,3.40E-07,0.00153516,0.00171819,0.00056179
11.98739,2.60E-07,0.00153516,0.00171803,0.00056158
11.9896,1.20E-07,0.00153517,0.00171777,0.00056123
