x,alpha_deg_0,alpha_deg_8,alpha_deg_16,alpha_deg_24
1.9727,0.00044528,8.531e-05,-0.00026485,-0.00060084
1.9751,0.00044482,8.49e-05,-0.00026544,-0.00060107
1.9884,0.00044231,8.262e-05,-0.0002686,-0.00060238
2.4262,0.00036377,5.52e-06,-0.00037135,-0.00065365
2.4478,0.00036032,1.51e-06,-0.00037621,-0.0006565
2.8466,0.00030464,-7.155e-05,-0.00046002,-0.00071255
2.9671,0.00029039,-9.095e-05,-0.00048232,-0.00073017
2.9755,0.00028943,-9.226e-05,-0.00048382,-0.00073141
2.9871,0.00028811,-9.406e-05,-0.00048587,-0.00073311
3.3455,0.0002521,-0.00014584,-0.00054211,-0.00078494
3.475,0.00024101,-0.0001631,-0.00055978,-0.00080282
3.8445,0.00021466,-0.00021133,-0.00060596,-0.00084889
3.9685,0.00020778,-0.00022779,-0.00062086,-0.0008621
3.9735,0.00020753,-0.00022845,-0.00062146,-0.00086261
3.9792,0.00020724,-0.00022921,-0.00062215,-0.00086318
4.4826,0.00018625,-0.00029395,-0.00068254,-0.00090384
4.6685,0.00017922,-0.00031558,-0.00070377,-0.00091533
4.956,0.00017066,-0.00034402,-0.000734,-0.00093143
4.9664,0.00017044,-0.00034493,-0.00073502,-0.000932
4.9716,0.00017033,-0.00034538,-0.00073553,-0.00093228
5.3593,0.00016381,-0.00037558,-0.00076973,-0.00095294
5.5195,0.00016076,-0.00038774,-0.00078205,-0.00096085
5.977,0.00014777,-0.00042277,-0.00081293,-0.00097943
5.9905,0.0001474,-0.00042379,-0.00081376,-0.00097986
6.083,0.000145,-0.00043068,-0.00081939,-0.0009826
6.0909,0.00014481,-0.00043126,-0.00081985,-0.00098282
6.9458,0.00012865,-0.00048758,-0.00086351,-0.00099198
6.9938,0.00012789,-0.00049021,-0.00086552,-0.0009917
6.9953,0.00012786,-0.00049029,-0.00086558,-0.00099169
6.9967,0.00012784,-0.00049037,-0.00086564,-0.00099168
7.8376,0.00011371,-0.00053023,-0.00089323,-0.00097525
7.9957,0.00011043,-0.00053763,-0.00089683,-0.00097021
7.9965,0.00011041,-0.00053766,-0.00089685,-0.00097018
7.9973,0.0001104,-0.0005377,-0.00089687,-0.00097015
8.7788,9.574e-05,-0.00057762,-0.00090851,-0.00093719
8.9936,9.346e-05,-0.00058867,-0.00091054,-0.00092521
8.9938,9.346e-05,-0.00058868,-0.00091055,-0.0009252
9.0091,9.333e-05,-0.00058946,-0.00091068,-0.00092428
9.8247,8.783e-05,-0.00062626,-0.00091455,-0.00086699
9.9965,8.623e-05,-0.00063245,-0.00091399,-0.00085337
9.9991,8.621e-05,-0.00063253,-0.00091398,-0.00085317
10.0085,8.611e-05,-0.00063285,-0.00091393,-0.00085241
10.7254,7.874e-05,-0.00065286,-0.00090568,-0.00079278
10.9812,7.774e-05,-0.0006593,-0.00090169,-0.00077094
11.0003,7.771e-05,-0.00065979,-0.0009014,-0.00076931
11.0074,7.769e-05,-0.00065998,-0.00090129,-0.00076869
11.5011,7.722e-05,-0.00067349,-0.00089395,-0.00072669
11.9776,7.189e-05,-0.00068732,-0.00088725,-0.00068736
11.9891,7.169e-05,-0.00068766,-0.00088708,-0.00068644
11.9897,7.168e-05,-0.00068768,-0.00088708,-0.00068639
