x,alpha_deg_0,alpha_deg_8,alpha_deg_16,alpha_deg_24
1.9895,-0.29105,-0.29478,-0.32325,-0.33171
1.9909,-0.29078,-0.29464,-0.32313,-0.33169
2.0152,-0.28771,-0.29237,-0.32109,-0.33146
2.0816,-0.28078,-0.28617,-0.31557,-0.33081
2.211,-0.26797,-0.27416,-0.30587,-0.32957
2.2523,-0.26403,-0.27039,-0.30308,-0.32918
2.4849,-0.24323,-0.25168,-0.28868,-0.327
2.4862,-0.24312,-0.25159,-0.28861,-0.32699
2.618,-0.23263,-0.24258,-0.28094,-0.32579
2.8986,-0.21311,-0.2254,-0.26744,-0.32334
2.9816,-0.20795,-0.22079,-0.26434,-0.32265
2.9931,-0.20726,-0.22016,-0.26392,-0.32256
3.1269,-0.19951,-0.2132,-0.25923,-0.32147
3.392,-0.18578,-0.20061,-0.2506,-0.31928
3.464,-0.18235,-0.19742,-0.24841,-0.31866
3.5563,-0.17808,-0.19346,-0.24573,-0.31785
3.6842,-0.17242,-0.18825,-0.24224,-0.31671
3.885,-0.1641,-0.18114,-0.23747,-0.31486
3.9733,-0.16068,-0.1784,-0.23573,-0.31403
3.9768,-0.16055,-0.1783,-0.23567,-0.31399
4.3162,-0.14861,-0.16883,-0.23066,-0.31072
4.4177,-0.14528,-0.16626,-0.22933,-0.30969
4.4823,-0.14319,-0.16469,-0.22848,-0.30902
4.5792,-0.14007,-0.16242,-0.22722,-0.30801
4.8853,-0.13074,-0.15588,-0.22328,-0.30556
4.8908,-0.13058,-0.15577,-0.22321,-0.30552
4.9697,-0.12839,-0.15419,-0.22222,-0.305
5.2368,-0.12171,-0.14904,-0.21904,-0.30326
5.4446,-0.11716,-0.14511,-0.21682,-0.30192
5.475,-0.11653,-0.14454,-0.21652,-0.30173
5.6892,-0.11234,-0.14069,-0.21459,-0.30034
5.971,-0.10713,-0.13601,-0.21253,-0.29843
5.986,-0.10686,-0.13578,-0.21244,-0.29832
6.0459,-0.10575,-0.13485,-0.21208,-0.29789
6.2871,-0.1013,-0.13147,-0.21085,-0.29602
6.4731,-0.09798,-0.12928,-0.21,-0.29449
6.6562,-0.09494,-0.12743,-0.20912,-0.29314
6.67,-0.09472,-0.1273,-0.20905,-0.29305
6.9574,-0.09081,-0.12474,-0.20731,-0.29125
6.9598,-0.09078,-0.12472,-0.20729,-0.29124
7.1889,-0.08833,-0.12277,-0.20598,-0.28985
7.4706,-0.08507,-0.12038,-0.20486,-0.28809
7.6365,-0.08232,-0.11897,-0.20419,-0.28698
7.7445,-0.08052,-0.11805,-0.20367,-0.28622
7.7689,-0.08015,-0.11784,-0.20355,-0.28605
7.9604,-0.07762,-0.11619,-0.20243,-0.28465
8.4838,-0.07259,-0.11181,-0.19892,-0.28057
8.5175,-0.0723,-0.11155,-0.1987,-0.2803
8.7912,-0.06998,-0.10961,-0.197,-0.2781
8.9788,-0.0684,-0.10847,-0.19598,-0.2766
9.0747,-0.06759,-0.10792,-0.19549,-0.27584
9.1156,-0.06724,-0.1077,-0.19529,-0.27552
9.5533,-0.0635,-0.10541,-0.19318,-0.27216
9.7104,-0.06219,-0.10463,-0.19237,-0.27099
9.9668,-0.06015,-0.1034,-0.19087,-0.26911
9.9771,-0.06007,-0.10335,-0.1908,-0.26904
10.0606,-0.05944,-0.10296,-0.19026,-0.26843
10.6906,-0.05502,-0.10013,-0.18599,-0.26394
10.7367,-0.05471,-0.09993,-0.18573,-0.26361
10.9759,-0.05313,-0.09891,-0.18473,-0.26191
10.9783,-0.05311,-0.0989,-0.18472,-0.2619
11.106,-0.05227,-0.09837,-0.18412,-0.26099
11.966,-0.04664,-0.09491,-0.179,-0.25491
11.9729,-0.0466,-0.09488,-0.17895,-0.25486
11.9871,-0.0465,-0.09482,-0.17887,-0.25476
11.9886,-0.04649,-0.09482,-0.17886,-0.25475
