x,alpha_deg_0,alpha_deg_8,alpha_deg_16,alpha_deg_24
1.9978,-0.01645,-0.0458,-0.08698,-0.14096
2.0044,-0.01641,-0.04583,-0.08721,-0.14116
2.4838,-0.01319,-0.04885,-0.09965,-0.15575
2.4969,-0.01309,-0.04896,-0.0999,-0.15616
2.6611,-0.01186,-0.05059,-0.10291,-0.16146
2.9785,-0.00931,-0.05467,-0.10909,-0.17231
2.9807,-0.00929,-0.0547,-0.10914,-0.17239
2.9829,-0.00927,-0.05474,-0.10919,-0.17247
3.2369,-0.00722,-0.05873,-0.11596,-0.18121
3.3441,-0.00637,-0.06049,-0.1195,-0.18476
3.4821,-0.00533,-0.06275,-0.12441,-0.18919
3.4864,-0.00529,-0.06282,-0.12457,-0.18933
3.8586,-0.00281,-0.06872,-0.1379,-0.20069
3.933,-0.0024,-0.06996,-0.14034,-0.20287
3.9702,-0.00222,-0.07059,-0.14152,-0.20394
3.9834,-0.00216,-0.07081,-0.14193,-0.20432
4.4081,-0.00079,-0.07808,-0.15373,-0.21529
4.4759,-0.00058,-0.07907,-0.15544,-0.21674
4.4847,-0.00056,-0.07919,-0.15565,-0.21691
4.7474,0.0003,-0.08222,-0.16203,-0.22162
4.8809,0.00073,-0.08362,-0.1652,-0.2238
4.9772,0.00104,-0.08471,-0.16745,-0.2254
5.3691,0.00212,-0.08977,-0.17576,-0.23075
5.3822,0.00215,-0.08994,-0.17599,-0.23088
5.4151,0.00222,-0.09036,-0.17656,-0.23117
5.5552,0.00248,-0.09205,-0.17865,-0.2322
5.9777,0.00299,-0.09595,-0.1828,-0.23413
5.9799,0.00299,-0.09596,-0.18282,-0.23414
6.0937,0.00312,-0.09679,-0.18387,-0.2345
6.2119,0.00328,-0.0976,-0.18498,-0.23483
6.4768,0.00375,-0.09956,-0.18747,-0.23539
6.4856,0.00377,-0.09964,-0.18755,-0.2354
6.792,0.00435,-0.10277,-0.19025,-0.23591
6.9847,0.0046,-0.10476,-0.19171,-0.23617
6.9912,0.0046,-0.10483,-0.19175,-0.23618
6.9978,0.00461,-0.1049,-0.1918,-0.23619
7.3415,0.00442,-0.10832,-0.19398,-0.23555
7.4553,0.00426,-0.10943,-0.1947,-0.23485
7.4904,0.00423,-0.10977,-0.19493,-0.23462
7.8713,0.00439,-0.11341,-0.19728,-0.23174
7.9939,0.00451,-0.11454,-0.19779,-0.23068
7.9961,0.00452,-0.11456,-0.19779,-0.23066
8.123,0.00463,-0.11569,-0.19804,-0.22945
8.331,0.00479,-0.11727,-0.19771,-0.22709
8.4864,0.0049,-0.11801,-0.19705,-0.225
8.7075,0.00501,-0.11884,-0.19618,-0.22156
8.8214,0.00505,-0.11929,-0.19604,-0.21958
8.9943,0.00509,-0.12013,-0.19607,-0.21634
9.0053,0.00509,-0.1202,-0.19607,-0.21613
9.3139,0.00505,-0.12238,-0.19561,-0.20997
9.3971,0.00501,-0.12295,-0.19529,-0.20828
9.4978,0.00494,-0.12358,-0.19482,-0.20625
9.9838,0.00411,-0.12595,-0.19193,-0.19692
9.9926,0.00409,-0.12598,-0.19187,-0.19676
10.2137,0.00324,-0.12685,-0.19049,-0.19285
10.3844,0.00248,-0.12746,-0.18949,-0.18975
10.6975,0.00136,-0.12842,-0.18768,-0.18342
10.7412,0.00126,-0.12854,-0.18739,-0.18245
10.9339,0.0009,-0.12907,-0.18592,-0.178
11.2645,0.00054,-0.13002,-0.18219,-0.16982
11.4637,0.00041,-0.13072,-0.17991,-0.16466
11.5271,0.00038,-0.13096,-0.17932,-0.16299
11.9781,0.00021,-0.13289,-0.17661,-0.15048
11.9825,0.0002,-0.13291,-0.17659,-0.15035
11.9869,0.0002,-0.13293,-0.17657,-0.15023
11.9934,0.0002,-0.13295,-0.17654,-0.15004
