x,Cmalpha_pdeg_vs_Mach_AoA0deg_Walker60,Cmalpha_pdeg_vs_Mach_AoA8deg_Walker60,Cmalpha_pdeg_vs_Mach_AoA16deg_Walker60,Cmalpha_pdeg_vs_Mach_AoA24deg_Walker60
1.9863,-0.0226811,-0.0229757,-0.0254389,-0.0300953
1.9946,-0.0225956,-0.0228993,-0.0253779,-0.0300632
1.9985,-0.0225553,-0.0228634,-0.0253493,-0.030048
2.0058,-0.0224796,-0.0227959,-0.0252953,-0.0300195
2.3216,-0.0193165,-0.019977,-0.0230189,-0.0288055
2.3773,-0.0187991,-0.0195039,-0.0226407,-0.028598
2.5266,-0.0174896,-0.018267,-0.0216911,-0.0280603
2.5322,-0.0174426,-0.0182216,-0.0216578,-0.0280409
2.8056,-0.0153075,-0.0161149,-0.0202577,-0.0271843
2.8121,-0.0152602,-0.0160681,-0.0202291,-0.0271665
2.9957,-0.0139953,-0.0148432,-0.0194812,-0.0267171
3.0224,-0.0138227,-0.0146815,-0.0193792,-0.0266595
3.2778,-0.0123194,-0.0133375,-0.0184499,-0.0261727
3.2793,-0.0123109,-0.0133302,-0.0184444,-0.0261699
3.5124,-0.0111558,-0.0123332,-0.0176599,-0.0257743
3.579,-0.0108541,-0.0120726,-0.0174485,-0.0256621
3.8349,-0.0097803,-0.0111406,-0.0167362,-0.0252425
3.837,-0.0097719,-0.0111333,-0.0167312,-0.0252393
4.0114,-0.0090961,-0.010546,-0.0163523,-0.0249862
4.0135,-0.0090883,-0.0105392,-0.0163482,-0.0249834
4.4452,-0.0075841,-0.0092867,-0.0155577,-0.0245226
4.4479,-0.0075758,-0.0092803,-0.0155532,-0.0245203
4.5218,-0.0073477,-0.0091059,-0.0154313,-0.0244588
4.5589,-0.0072374,-0.0090234,-0.015372,-0.0244293
5.0083,-0.0060713,-0.0081926,-0.0147764,-0.0241277
5.0116,-0.0060634,-0.0081869,-0.0147727,-0.0241257
5.0136,-0.0060587,-0.0081836,-0.0147705,-0.0241246
5.0145,-0.0060564,-0.0081819,-0.0147694,-0.024124
5.5148,-0.0048891,-0.0073325,-0.014259,-0.0238654
5.5296,-0.0048557,-0.0073087,-0.014246,-0.0238592
5.6637,-0.0045608,-0.0070998,-0.0141383,-0.0238097
5.6676,-0.0045524,-0.0070939,-0.0141355,-0.0238084
5.9837,-0.0040249,-0.0066472,-0.0139524,-0.0237584
5.9915,-0.0040134,-0.0066371,-0.0139488,-0.0237585
5.9917,-0.004013,-0.0066368,-0.0139487,-0.0237585
6.5069,-0.0032302,-0.006072,-0.0137683,-0.0238424
6.5147,-0.0032192,-0.0060652,-0.0137666,-0.0238438
6.531,-0.0031966,-0.0060512,-0.0137631,-0.0238467
6.5343,-0.0031921,-0.0060483,-0.0137624,-0.0238472
6.9762,-0.0027106,-0.0057465,-0.0137355,-0.0239237
6.9778,-0.0027091,-0.0057456,-0.0137356,-0.0239241
6.9835,-0.0027035,-0.0057425,-0.0137358,-0.0239256
7.5062,-0.0021587,-0.0054952,-0.0137792,-0.0241236
7.5118,-0.0021525,-0.0054928,-0.0137801,-0.0241263
7.517,-0.0021469,-0.0054905,-0.0137809,-0.0241287
7.5221,-0.0021412,-0.0054882,-0.0137818,-0.0241311
7.9825,-0.0016696,-0.0052921,-0.0139004,-0.0243969
7.991,-0.0016626,-0.0052888,-0.0139029,-0.0244029
7.9945,-0.0016598,-0.0052874,-0.0139039,-0.0244054
8.4587,-0.0013531,-0.0051346,-0.0140567,-0.0247843
8.489,-0.001334,-0.0051273,-0.0140702,-0.024812
8.5026,-0.0013253,-0.0051242,-0.0140765,-0.0248244
8.5521,-0.0012928,-0.0051134,-0.0141015,-0.0248703
8.9798,-0.0010283,-0.0050657,-0.0144481,-0.0252716
8.9822,-0.0010272,-0.0050657,-0.0144502,-0.0252738
8.9963,-0.0010209,-0.0050654,-0.0144626,-0.0252868
9.4811,-0.0008545,-0.0051042,-0.0148685,-0.0257344
9.5031,-0.0008461,-0.005108,-0.0148872,-0.0257551
9.5352,-0.000833,-0.0051137,-0.0149148,-0.0257857
9.9956,-0.0006254,-0.0052236,-0.0153396,-0.0262454
9.996,-0.0006252,-0.0052237,-0.01534,-0.0262459
10.0022,-0.0006231,-0.0052254,-0.0153457,-0.0262525
10.5341,-0.0005194,-0.005384,-0.0158295,-0.0268602
10.5419,-0.0005184,-0.0053864,-0.0158371,-0.0268698
10.5873,-0.0005127,-0.0053999,-0.0158812,-0.0269249
11.0033,-0.0004505,-0.0055221,-0.016337,-0.0274407
11.0078,-0.0004496,-0.0055234,-0.016342,-0.0274464
11.0095,-0.0004493,-0.005524,-0.0163439,-0.0274485
11.449,-0.0003589,-0.0056662,-0.0168101,-0.0279932
11.5163,-0.0003461,-0.0056923,-0.0168838,-0.0280762
11.5264,-0.0003443,-0.0056964,-0.0168951,-0.0280887
11.9999,-0.0002779,-0.0059393,-0.0174615,-0.028671
12.0022,-0.0002776,-0.0059407,-0.0174644,-0.0286739
12.0056,-0.0002772,-0.0059427,-0.0174686,-0.0286781
12.0187,-0.0002757,-0.0059504,-0.0174848,-0.0286941
