x,alpha_deg_0,alpha_deg_8,alpha_deg_16,alpha_deg_24
1.9879,0.0092526,0.0084037,0.0088235,0.0066935
1.9881,0.0092512,0.0084024,0.0088223,0.0066935
1.9917,0.0092272,0.0083821,0.0088024,0.0066939
2.0942,0.0085608,0.0078617,0.0082729,0.006705
2.1195,0.0084026,0.0077576,0.0081587,0.0067077
2.1984,0.0079286,0.0074761,0.0078473,0.0067159
2.2839,0.0074776,0.0071839,0.0075711,0.0067245
2.2905,0.0074472,0.0071593,0.0075518,0.0067252
2.3334,0.007262,0.0069861,0.0074321,0.0067293
2.4171,0.0069351,0.0066849,0.0072189,0.0067372
2.5694,0.0063887,0.0063327,0.0068748,0.0067504
2.6293,0.0061888,0.0061892,0.006751,0.0067551
2.7747,0.0057833,0.0057928,0.0064738,0.0067653
2.7888,0.0057487,0.0057585,0.0064489,0.0067661
2.8535,0.0055941,0.0056249,0.0063406,0.0067698
3.0982,0.0050604,0.0053583,0.0060729,0.0067772
3.133,0.004992,0.0053285,0.0060485,0.0067771
3.1652,0.0049312,0.0053002,0.0060265,0.0067766
3.4081,0.0045504,0.0050653,0.0058776,0.0067544
3.5394,0.0043818,0.0049394,0.0058116,0.0067183
3.5985,0.0043098,0.0048854,0.0057859,0.0066998
3.6555,0.0042421,0.0048351,0.0057635,0.0066854
3.79,0.0040879,0.0047224,0.0057207,0.0066661
3.8753,0.0039945,0.0046547,0.0056994,0.0066611
4.1154,0.0037494,0.0044778,0.0056555,0.0066576
4.1774,0.0036886,0.0044353,0.0056464,0.0066565
4.3048,0.003566,0.0043523,0.0056287,0.0066519
4.4819,0.0034037,0.0042466,0.0056042,0.0066368
4.5778,0.0033214,0.0041937,0.0055912,0.006622
4.7718,0.0031702,0.0040949,0.0055657,0.0065718
4.8638,0.0031059,0.0040512,0.0055543,0.0065402
5.0399,0.0029952,0.0039717,0.0055344,0.006474
5.2219,0.0028961,0.0038938,0.0055169,0.0064117
5.3332,0.0028419,0.003848,0.0055075,0.0063821
5.3954,0.0028134,0.003823,0.0055025,0.0063677
5.7372,0.0026676,0.0036944,0.0054747,0.0062972
5.8802,0.002608,0.003648,0.0054614,0.006263
5.9208,0.0025908,0.0036358,0.0054574,0.0062519
5.9312,0.0025863,0.0036328,0.0054564,0.0062489
6.3754,0.0023967,0.0035348,0.0054128,0.0060834
6.397,0.0023885,0.003532,0.0054109,0.0060739
6.4277,0.0023771,0.0035282,0.0054082,0.0060603
6.6576,0.002301,0.0035099,0.0053895,0.0059557
6.8962,0.0022333,0.0035038,0.0053705,0.0058461
6.9196,0.002227,0.0035037,0.0053685,0.0058353
7.2125,0.0021515,0.0035053,0.005341,0.0056983
7.4148,0.0021003,0.0035069,0.0053182,0.0056004
7.4326,0.0020958,0.003507,0.0053161,0.0055917
7.5261,0.0020719,0.0035073,0.0053047,0.0055453
8.0178,0.0019424,0.0035097,0.0052463,0.0052939
8.2713,0.0018763,0.003514,0.0052265,0.0051622
8.2782,0.0018745,0.0035142,0.005226,0.0051586
8.3013,0.0018686,0.0035147,0.0052244,0.0051466
8.5284,0.0018103,0.0035219,0.0052016,0.0050286
9.0628,0.0016766,0.0035494,0.0051201,0.0047449
9.236,0.0016347,0.003562,0.0051006,0.0046488
9.2506,0.0016312,0.0035631,0.0050994,0.0046405
9.6368,0.0015426,0.0036037,0.0050896,0.0044182
9.7548,0.0015179,0.0036209,0.0050877,0.004349
9.8683,0.0014957,0.0036398,0.0050826,0.0042821
9.9841,0.0014749,0.0036611,0.0050733,0.0042133
10.4747,0.0013996,0.0037588,0.005012,0.0039145
10.4794,0.0013989,0.0037597,0.0050113,0.0039116
10.6479,0.0013708,0.0037909,0.004988,0.0038068
10.9112,0.0013244,0.0038331,0.0049548,0.0036424
11.3247,0.0012527,0.0038805,0.0049147,0.003385
11.3896,0.0012424,0.0038863,0.0049099,0.003345
11.5072,0.0012249,0.003896,0.0049019,0.0032731
11.9782,0.0011769,0.0039287,0.0048762,0.0030091
11.9787,0.0011769,0.0039288,0.0048762,0.0030088
11.9842,0.0011765,0.0039291,0.0048759,0.0030061
11.9843,0.0011765,0.0039291,0.0048759,0.003006
