x,alpha_deg_0,alpha_deg_8,alpha_deg_16,alpha_deg_24
1.9756,0.00090711,0.00094255,0.00103139,0.00115772
1.981,0.00090457,0.00094028,0.0010293,0.00115597
1.981,0.00090454,0.00094025,0.00102928,0.00115595
1.9849,0.00090269,0.00093859,0.00102776,0.00115467
2.4281,0.00071057,0.00075499,0.00086459,0.00101358
2.4498,0.00070261,0.00074649,0.00085742,0.00100712
2.483,0.00069074,0.00073369,0.00084667,0.00099741
2.4875,0.00068917,0.00073199,0.00084524,0.00099612
2.9816,0.00053914,0.00057905,0.00070798,0.00087672
2.9827,0.00053885,0.0005788,0.00070772,0.00087651
2.9918,0.0005365,0.00057681,0.00070565,0.00087482
2.9978,0.00053496,0.00057551,0.00070429,0.00087371
3.4365,0.00044753,0.00050264,0.00062899,0.00081137
3.4472,0.00044603,0.00050122,0.00062754,0.0008103
3.4789,0.00044167,0.00049702,0.00062324,0.00080723
3.5448,0.00043309,0.00048846,0.00061446,0.00080162
3.9696,0.00038562,0.00044034,0.00057265,0.00078519
3.9739,0.00038516,0.00043994,0.0005724,0.00078508
3.9745,0.00038509,0.00043989,0.00057236,0.00078507
3.9872,0.00038374,0.00043872,0.00057163,0.00078476
4.5255,0.00032719,0.00039653,0.00055574,0.00077233
4.5595,0.00032392,0.00039439,0.00055513,0.00077161
4.9725,0.00029979,0.00037462,0.00054795,0.00076402
4.9834,0.00029927,0.00037413,0.00054775,0.00076386
4.984,0.00029925,0.0003741,0.00054774,0.00076385
4.9948,0.00029874,0.00037361,0.00054755,0.0007637
5.9737,0.00025212,0.00033441,0.00052913,0.00075369
5.9919,0.00025133,0.0003338,0.00052878,0.00075344
5.9943,0.00025123,0.00033372,0.00052873,0.0007534
6.9977,0.00021632,0.00030463,0.00050888,0.00073684
7.0063,0.00021604,0.00030441,0.00050871,0.00073669
7.9849,0.00018426,0.00028222,0.00049019,0.00071997
7.9889,0.00018414,0.00028214,0.00049013,0.00071991
7.9919,0.00018404,0.00028209,0.00049008,0.00071986
8.9986,0.00015609,0.00026637,0.00047649,0.0007049
9.0012,0.00015603,0.00026634,0.00047646,0.00070486
9.9858,0.0001366,0.00025512,0.00046506,0.00069176
9.9908,0.00013652,0.00025507,0.000465,0.00069169
10.0002,0.00013637,0.00025496,0.0004649,0.00069157
10.9835,0.00012236,0.00024342,0.00045365,0.00067839
11.9847,0.00010826,0.00023095,0.00044214,0.00066472
11.993,0.00010814,0.00023084,0.00044205,0.00066461
11.9951,0.00010811,0.00023081,0.00044202,0.00066458
11.996,0.00010809,0.0002308,0.00044201,0.00066457
