x,alpha_deg_0,alpha_deg_8,alpha_deg_16,alpha_deg_24
1.9884,-0.0050909,-0.0048471,-0.0047589,-0.0039833
1.9905,-0.0050881,-0.0048449,-0.0047572,-0.003982
1.9962,-0.0050805,-0.0048386,-0.0047526,-0.0039791
2.3726,-0.0046399,-0.00443,-0.0044827,-0.0040353
2.5218,-0.0045045,-0.0042792,-0.0044081,-0.0040758
2.5271,-0.0045,-0.0042741,-0.0044058,-0.0040773
2.906,-0.0042069,-0.0040218,-0.0042774,-0.0041878
2.9803,-0.0041564,-0.0039863,-0.0042581,-0.0042098
2.9874,-0.0041517,-0.0039829,-0.0042563,-0.0042119
3.2813,-0.0039783,-0.003848,-0.0041937,-0.0042973
3.4977,-0.0038714,-0.0037549,-0.0041605,-0.004355
3.5221,-0.0038599,-0.0037448,-0.0041574,-0.0043609
3.9828,-0.0036445,-0.0035741,-0.0041158,-0.0044383
3.9859,-0.003643,-0.0035731,-0.0041156,-0.0044386
3.9893,-0.0036414,-0.003572,-0.0041153,-0.004439
3.9996,-0.0036364,-0.0035688,-0.0041145,-0.0044402
4.5548,-0.0033778,-0.0034421,-0.0040703,-0.0044935
4.9744,-0.0032074,-0.00339,-0.0040386,-0.004499
4.985,-0.0032036,-0.0033889,-0.0040378,-0.004499
4.9858,-0.0032033,-0.0033888,-0.0040378,-0.004499
4.9872,-0.0032028,-0.0033886,-0.0040377,-0.004499
5.4876,-0.0030448,-0.0033373,-0.0040052,-0.0045017
5.9856,-0.0029167,-0.0032967,-0.0039819,-0.0044847
5.9874,-0.0029162,-0.0032966,-0.0039818,-0.0044847
5.9875,-0.0029162,-0.0032966,-0.0039818,-0.0044846
5.9948,-0.0029144,-0.0032961,-0.0039815,-0.0044843
6.4966,-0.0027935,-0.003274,-0.003969,-0.0044523
6.9836,-0.0026995,-0.0032713,-0.0039654,-0.0043946
6.9858,-0.0026991,-0.0032713,-0.0039654,-0.0043943
6.9913,-0.0026981,-0.0032714,-0.0039653,-0.0043936
6.992,-0.002698,-0.0032714,-0.0039653,-0.0043935
7.494,-0.0026123,-0.0032849,-0.0039675,-0.0043348
7.9761,-0.0025345,-0.0033049,-0.0039707,-0.0042564
7.9868,-0.0025328,-0.0033054,-0.0039708,-0.0042544
7.9909,-0.0025321,-0.0033055,-0.0039708,-0.0042536
8.4711,-0.0024581,-0.0033263,-0.0039718,-0.0041538
8.9835,-0.0023843,-0.0033566,-0.0039719,-0.0040312
8.9851,-0.0023841,-0.0033568,-0.0039719,-0.0040308
8.9854,-0.0023841,-0.0033568,-0.0039719,-0.0040308
8.988,-0.0023837,-0.003357,-0.0039719,-0.0040301
9.5746,-0.002324,-0.0034114,-0.003978,-0.0038796
9.9655,-0.0023026,-0.0034527,-0.0039883,-0.0037672
9.9728,-0.0023022,-0.0034534,-0.0039885,-0.0037649
9.9787,-0.0023018,-0.0034541,-0.0039887,-0.0037631
9.9816,-0.0023016,-0.0034544,-0.0039888,-0.0037622
10.4783,-0.0022652,-0.0035047,-0.0040049,-0.0036047
10.9814,-0.0022243,-0.0035586,-0.0040225,-0.0034251
10.9848,-0.002224,-0.003559,-0.0040226,-0.0034238
11.9815,-0.0021395,-0.003689,-0.0040587,-0.0030388
11.985,-0.0021392,-0.0036895,-0.0040588,-0.0030375
11.9852,-0.0021392,-0.0036895,-0.0040588,-0.0030374
11.9868,-0.0021391,-0.0036897,-0.0040589,-0.0030367
