x,alpha_deg_0,alpha_deg_8,alpha_deg_16,alpha_deg_24
1.991,-0.020364,-0.071136,-0.127106,-0.130187
1.9939,-0.020339,-0.071049,-0.12684,-0.13013
2.0087,-0.020212,-0.070604,-0.125484,-0.129841
2.2284,-0.01835,-0.064005,-0.107932,-0.125628
2.3459,-0.017398,-0.060525,-0.101491,-0.123438
2.4932,-0.016284,-0.057445,-0.095126,-0.120742
2.4935,-0.016282,-0.057439,-0.095114,-0.120736
2.5682,-0.01576,-0.056002,-0.092358,-0.119388
2.9884,-0.013217,-0.048228,-0.08042,-0.111933
2.9934,-0.013189,-0.048145,-0.080307,-0.111844
3.0015,-0.013144,-0.048014,-0.08013,-0.111702
3.0245,-0.013015,-0.047644,-0.07963,-0.111296
3.4837,-0.010728,-0.04253,-0.072546,-0.103126
3.4887,-0.010708,-0.042495,-0.07249,-0.103035
3.4907,-0.0107,-0.042482,-0.072469,-0.103
3.5546,-0.010459,-0.042067,-0.071785,-0.101838
3.9829,-0.008959,-0.039883,-0.067961,-0.094796
3.9877,-0.008939,-0.03986,-0.067925,-0.094732
3.9989,-0.008892,-0.039805,-0.06784,-0.094585
4.2772,-0.007597,-0.038411,-0.066037,-0.091611
4.4819,-0.006757,-0.037519,-0.065205,-0.089834
4.483,-0.006754,-0.037515,-0.065202,-0.089825
4.5044,-0.006684,-0.037439,-0.065142,-0.089637
4.885,-0.005881,-0.036568,-0.064518,-0.086179
4.9389,-0.005799,-0.036484,-0.064434,-0.085728
4.9956,-0.00571,-0.036396,-0.064337,-0.085272
4.9994,-0.005704,-0.036391,-0.064331,-0.085243
5.3986,-0.004964,-0.035741,-0.063461,-0.082415
5.4807,-0.004808,-0.035598,-0.063244,-0.081869
5.5761,-0.004635,-0.035434,-0.062969,-0.081238
5.657,-0.004491,-0.035301,-0.062713,-0.080701
5.8835,-0.004093,-0.034988,-0.061938,-0.079191
5.9873,-0.003904,-0.03488,-0.061619,-0.078522
6.097,-0.003694,-0.034787,-0.061337,-0.077855
6.2823,-0.003366,-0.034679,-0.060963,-0.076866
6.4723,-0.003151,-0.03463,-0.060629,-0.076051
6.4772,-0.003148,-0.034629,-0.060621,-0.076032
6.8533,-0.003064,-0.034744,-0.059909,-0.074613
6.9224,-0.00302,-0.034792,-0.05975,-0.074324
6.9718,-0.00297,-0.034831,-0.05963,-0.074103
7.129,-0.002704,-0.034971,-0.059209,-0.073317
7.4676,-0.002069,-0.035319,-0.058176,-0.071278
7.4972,-0.00204,-0.035349,-0.058083,-0.071084
7.548,-0.002003,-0.0354,-0.057925,-0.070749
7.9817,-0.001884,-0.035768,-0.056699,-0.067866
8.0285,-0.001832,-0.035796,-0.056586,-0.067571
8.0343,-0.001825,-0.0358,-0.056572,-0.067534
8.1811,-0.001565,-0.035872,-0.056252,-0.066653
8.4739,-0.001129,-0.035968,-0.055742,-0.064991
8.5346,-0.001076,-0.035984,-0.055641,-0.064645
8.7746,-0.00094,-0.036057,-0.055172,-0.063228
9.012,-0.00086,-0.036169,-0.054499,-0.061716
9.0767,-0.000844,-0.036211,-0.054294,-0.061272
9.3281,-0.000791,-0.03641,-0.053528,-0.059449
9.4875,-0.000763,-0.036554,-0.053115,-0.058339
9.8067,-0.000703,-0.036831,-0.05238,-0.056243
9.9721,-0.000663,-0.036947,-0.051996,-0.055196
10.0042,-0.000654,-0.036966,-0.051917,-0.054995
10.5221,-0.000376,-0.037124,-0.050642,-0.051787
11.0072,0.00425,-0.037182,-0.049785,-0.048817
11.1228,0.005381,-0.037206,-0.049559,-0.048111
11.473,0.009857,-0.03732,-0.04873,-0.045966
11.7343,0.014373,-0.037431,-0.048038,-0.044344
11.9885,0.019875,-0.037549,-0.047389,-0.04264
11.9935,0.019995,-0.037552,-0.047377,-0.042602
11.9984,0.020113,-0.037554,-0.047365,-0.04258
