x,alpha_deg_0,alpha_deg_8,alpha_deg_16,alpha_deg_24
1.9933,-1.41952,-1.43647,-1.56072,-1.59297
1.9953,-1.41908,-1.43604,-1.56022,-1.59297
1.9954,-1.41907,-1.43603,-1.5602,-1.59297
2.334,-1.34838,-1.36666,-1.4772,-1.58271
2.4768,-1.32152,-1.34117,-1.44316,-1.57353
2.4801,-1.32092,-1.34061,-1.4424,-1.57329
2.6763,-1.28836,-1.31075,-1.40281,-1.55745
2.9737,-1.24314,-1.26728,-1.35745,-1.52955
2.9746,-1.24301,-1.26715,-1.35734,-1.52947
2.9747,-1.243,-1.26714,-1.35733,-1.52946
3.1478,-1.21614,-1.23827,-1.33406,-1.51289
3.4616,-1.16958,-1.18688,-1.29439,-1.48623
3.4708,-1.16833,-1.18557,-1.29331,-1.48556
3.4822,-1.1668,-1.18398,-1.29199,-1.48475
3.6669,-1.14404,-1.16235,-1.27241,-1.47307
3.9559,-1.11488,-1.13857,-1.25106,-1.45857
3.9669,-1.1139,-1.13775,-1.25044,-1.45806
3.9717,-1.11347,-1.13739,-1.25017,-1.45784
4.3069,-1.086,-1.11215,-1.23403,-1.44245
4.4634,-1.07353,-1.10066,-1.22728,-1.43479
4.476,-1.0725,-1.09975,-1.22674,-1.43414
4.5496,-1.0664,-1.09456,-1.22366,-1.43029
4.9757,-1.03208,-1.06975,-1.20692,-1.41036
4.9785,-1.03188,-1.06962,-1.20682,-1.41026
4.9803,-1.03176,-1.06954,-1.20675,-1.4102
5.4777,-1.00417,-1.04913,-1.1904,-1.39563
5.4795,-1.00408,-1.04907,-1.19035,-1.39558
5.4887,-1.00364,-1.04875,-1.1901,-1.39531
5.7009,-0.99359,-1.04207,-1.18494,-1.3888
5.9802,-0.98105,-1.03515,-1.18013,-1.37874
5.9821,-0.98097,-1.03512,-1.18011,-1.37867
6.4653,-0.96244,-1.02644,-1.17531,-1.35933
6.4724,-0.96219,-1.02629,-1.17525,-1.35905
6.4846,-0.96178,-1.02602,-1.17514,-1.35857
6.5957,-0.95807,-1.02358,-1.1741,-1.35432
6.9809,-0.9459,-1.01476,-1.17021,-1.33881
6.9822,-0.94586,-1.01473,-1.17019,-1.33875
7.4774,-0.93033,-1.00348,-1.16558,-1.31559
7.4912,-0.92991,-1.00317,-1.16547,-1.31491
7.9909,-0.91508,-0.99259,-1.16191,-1.28931
8.4774,-0.90161,-0.98362,-1.15657,-1.26153
8.4796,-0.90155,-0.98359,-1.15654,-1.26139
8.488,-0.90133,-0.98345,-1.15641,-1.26089
8.9845,-0.88907,-0.97664,-1.14675,-1.23005
9.4922,-0.87739,-0.9722,-1.13513,-1.1977
9.4963,-0.87729,-0.97218,-1.13504,-1.19744
9.9929,-0.86576,-0.96952,-1.12442,-1.16555
10.149,-0.8622,-0.96879,-1.12089,-1.1555
10.4874,-0.8548,-0.96708,-1.11243,-1.13364
10.498,-0.85457,-0.96702,-1.11214,-1.13295
10.9948,-0.8447,-0.96412,-1.09794,-1.1004
11.4948,-0.83578,-0.96053,-1.0827,-1.06686
11.5059,-0.8356,-0.96043,-1.08236,-1.06612
11.99,-0.82904,-0.95395,-1.06725,-1.03321
11.994,-0.82899,-0.95386,-1.06712,-1.03293
11.9983,-0.82895,-0.95376,-1.06699,-1.03264
12.0034,-0.82889,-0.95365,-1.06683,-1.03229
