# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (mm),CG location (mm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (mm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
0.01,-0,-0.09,-9.039,0.09,9.039,0,0,0,0,0,0,28.61,-80.6,9.792,92.416,0,0,0,350.128,27.091,0.001,0,NaN,148.535,NaN,0.006,39143.214,0.264,-0,0.852,-0,0.407,0.325,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,34.4,9.294,90,0,2.143,15,1013.25,340.389,0.01,0.001
0.02,-0,-0.075,-7.531,0.075,7.531,0,0,0,0,0,0,28.61,-80.6,9.792,92.038,0,0,0,350.119,27.083,0.001,0,NaN,148.533,NaN,0.006,38653.34,0.792,-0,0.853,-0,0.408,0.325,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,34.4,9.294,90,0,2.116,15,1013.25,340.389,0.01,0.001
0.03,-0,-0.06,-6.024,0.06,6.024,0,0,0,0,0,0,28.61,-80.6,9.792,91.651,0,0,0,350.111,27.074,0.001,0,NaN,148.53,NaN,0.006,38165.187,1.319,-0,0.855,-0,0.41,0.325,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,34.4,9.294,90,0,2.09,15,1013.25,340.389,0.01,0.001
0.04,-0,-0.045,-4.516,0.045,4.516,0,0,0,0,0,0,28.61,-80.6,9.792,91.254,0,0,0,350.102,27.066,0.001,0,NaN,148.528,NaN,0.006,37678.822,1.847,-0,0.856,-0,0.411,0.325,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,34.4,9.294,90,0,2.064,15,1013.25,340.389,0.01,0.002
0.05,-0,-0.023,-2.338,0.023,2.338,0,0,0,0,0,0,28.61,-80.6,9.792,90.658,0,0,0,350.055,27.018,0.001,0,NaN,148.514,NaN,0.006,37192.71,2.609,-0,0.857,-0,0.413,0.324,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,34.4,9.294,90,0,2.038,15,1013.25,340.389,0.01,0.002
0.06,0,0.005,0.51,0.005,0.51,0,0,0,0,0,0,28.61,-80.6,9.792,89.859,0,0,0,350.007,26.971,0.001,0,NaN,148.5,NaN,0.006,37649.404,3.606,0,0.856,0,0.411,0.325,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,34.4,9.294,90,0,2.063,15,1013.25,340.389,0.01,0.002
0.07,0,0.039,3.359,0.039,3.359,0,0,0,0,0,0,28.61,-80.6,9.792,88.939,0,0,0,349.96,26.923,0.001,0,NaN,148.486,NaN,0.006,38114.857,4.602,0,0.855,0,0.41,0.325,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,34.4,9.294,90,0,2.088,15,1013.25,340.389,0.01,0.002
0.08,0.001,0.101,6.209,0.101,6.209,0,0,0,0,0,0,28.61,-80.6,9.792,87.27,0,0,0,349.912,26.876,0.001,0,NaN,148.473,NaN,0.006,38611.17,5.599,0,0.853,0,0.408,0.325,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,34.4,9.294,90,0,2.113,15,1013.25,340.389,0.01,0.003
0.09,0.002,0.191,9.06,0.191,9.06,0,0,0,0,0,0,28.61,-80.6,9.792,84.886,0,0,0,349.865,26.828,0.001,0,NaN,148.459,NaN,0.006,39182.334,6.596,0,0.852,0.001,0.407,0.325,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,34.4,9.294,90,0,2.138,15,1013.25,340.389,0.01,0.003
0.1,0.005,0.31,11.911,0.31,11.911,0,0,0,0,0,0,28.61,-80.6,9.792,81.834,0,0,0,349.817,26.781,0.001,0,NaN,148.445,NaN,0.006,39889.897,7.592,0,0.85,0.006,0.404,0.326,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,34.4,9.294,90,0,2.163,15,1013.249,340.389,0.01,0.003
0.11,0.009,0.458,14.763,0.458,14.763,0,0,0,0,0,0,28.61,-80.6,9.792,78.114,0,0,0,349.769,26.733,0.001,0,NaN,148.431,NaN,0.007,40591.738,8.589,0,0.848,0.017,0.402,0.326,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,34.4,9.294,90,0,2.176,15,1013.249,340.389,0.01,0.003
0.12,0.014,0.636,17.752,0.636,17.752,0,0,0,0,0,0,28.61,-80.6,9.792,73.811,0,0,0,349.685,26.648,0.001,0,NaN,148.407,NaN,0.007,41607.115,9.632,0,0.846,0.04,0.4,0.326,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,34.4,9.294,90,0,2.189,15,1013.248,340.389,0.01,0.003
